,price,price_log,sqft_above,sqft_above_log,sqft_lot,sqft_lot_log,sqft_living15,sqft_living15_log,sqft_lot15,age,bedrooms,bathrooms,floors,water_1.0,base_1.0,reno_1.0,cond_2.0,cond_3.0,cond_4.0,cond_5.0,zip_A,zip_B,zip_C,zip_D,zip_E,zip_F,zip_G,zip_H,zip_I
15937,268950.0,12.50228076770139,880,6.779921907472252,8100,8.99961934066053,1000,6.907755278982137,8100,72,3,1.0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20963,399900.0,12.89896979483491,900,6.802394763324311,1005,6.912742820493176,1440,7.272398392570047,1188,4,2,1.75,1.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7614,339000.0,12.733755386362587,720,6.579251212010101,4128,8.325548307161398,1510,7.31986492980897,4538,73,3,1.0,1.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3257,380000.0,12.84792653170257,840,6.733401891837359,7372,8.905444318789714,1930,7.5652752818989315,5150,76,2,1.0,1.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
16723,365000.0,12.80765263256463,1600,7.3777589082278725,4168,8.335191583433202,1190,7.081708586105575,4168,88,5,2.0,1.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11642,415885.0,12.93816405871849,1310,7.177782416195197,4163,8.333991247194975,1120,7.02108396428914,4166,51,3,1.0,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
13015,998500.0,13.814009431838008,1570,7.358830898342354,4400,8.389359819906353,1850,7.52294091807237,4400,101,2,1.0,1.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4817,650500.0,13.385496576934697,1740,7.461640392208575,4400,8.389359819906353,1740,7.461640392208575,4400,112,3,1.75,1.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4675,670000.0,13.415032991367148,1490,7.306531398939505,4400,8.389359819906353,1560,7.352441100243583,4400,109,3,1.5,1.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1714,800000.0,13.592367006650065,1700,7.438383530044307,4400,8.389359819906353,1610,7.383989457978509,4180,109,3,1.0,1.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14236,655000.0,13.39239051461739,1920,7.560080465021827,4080,8.313852267398207,1890,7.5443321080536885,4400,35,4,2.25,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7140,605000.0,13.312983737012978,1270,7.146772179452637,5500,8.612503371220562,1870,7.533693709848633,4400,94,2,2.0,1.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
16952,720000.0,13.487006490992238,1500,7.313220387090301,2200,7.696212639346407,1750,7.4673710669175595,4400,96,3,2.5,2.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10382,575000.0,13.262125319779487,1700,7.438383530044307,4400,8.389359819906353,1470,7.293017679772782,4400,106,4,2.0,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11250,245700.0,12.41186655850927,1180,7.07326971745971,8400,9.035986984831405,1600,7.3777589082278725,8120,47,3,2.25,1.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5408,215000.0,12.2783933071098,1470,7.293017679772782,7000,8.85366542803745,1640,7.402451520818244,7000,48,4,2.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4417,247000.0,12.417143615610113,1180,7.07326971745971,7630,8.939843124278502,1930,7.5652752818989315,7630,47,3,2.25,1.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
